predicted_value,tsec,id,pemfc_id,state
8.428720638841389,125405,101,3,NORMAL
7.075595204174518,125410,102,3,NORMAL
7.726384063094853,125415,103,3,NORMAL
8.28428958415985,125420,104,3,NORMAL
8.316148230195044,125425,105,3,NORMAL
8.330313945531843,125430,106,3,NORMAL
7.89389381751418,125435,107,3,NORMAL
8.166523004084825,125440,108,3,NORMAL
8.038055953294037,125445,109,3,NORMAL
7.502578723460434,125450,110,3,NORMAL
7.414722406595945,125455,111,3,NORMAL
7.745461954563855,125460,112,3,NORMAL
7.191800007879733,125465,113,3,NORMAL
8.097314763277767,125470,114,3,NORMAL
6.965859804660081,125475,115,3,NORMAL
8.455351569652557,125480,116,3,NORMAL
6.844791150629519,125485,117,3,NORMAL
7.069188339263199,125490,118,3,NORMAL
7.718812830507754,125495,119,3,NORMAL
8.278621819823979,125500,120,3,NORMAL
8.310876737475395,125505,121,3,NORMAL
7.144268449872731,125510,122,3,NORMAL
7.886711465537547,125515,123,3,NORMAL
8.161185560852289,125520,124,3,NORMAL
8.031212450504302,125525,125,3,NORMAL
7.497555113703012,125530,126,3,NORMAL
8.276118543028831,125535,127,3,NORMAL
7.739414406239986,125540,128,3,NORMAL
7.187093642830848,125545,129,3,NORMAL
8.092767020583151,125550,130,3,NORMAL
6.960996522873639,125555,131,3,NORMAL
8.372138510018585,125560,132,3,NORMAL
8.392085697472094,125565,133,3,NORMAL
8.01295268651843,125570,134,3,NORMAL
8.370606297671793,125575,135,3,NORMAL
8.565031252354382,125580,136,3,NORMAL
7.326414669841527,125585,137,3,NORMAL
7.735559143930672,125590,138,3,NORMAL
7.97540126043558,125595,139,3,NORMAL
7.187554159343241,125600,140,3,NORMAL
7.238762458443641,125605,141,3,NORMAL
7.9645740055441845,125610,142,3,NORMAL
8.306675803512334,125615,143,3,NORMAL
8.415967742681502,125620,144,3,NORMAL
6.834123086631297,125625,145,3,NORMAL
7.058101262092589,125630,146,3,NORMAL
8.267664938062428,125635,147,3,NORMAL
8.300201851010321,125640,148,3,NORMAL
8.313407872676848,125645,149,3,NORMAL
7.1335094196498385,125650,150,3,NORMAL
7.875711374819278,125655,151,3,NORMAL
8.020826950341462,125660,152,3,NORMAL
7.4891435806155195,125665,153,3,NORMAL
7.39791696512699,125670,154,3,NORMAL
8.268304544329641,125675,155,3,NORMAL
7.729002753287553,125680,156,3,NORMAL
8.083097310900687,125685,157,3,NORMAL
6.953644746303557,125690,158,3,NORMAL
8.436499956667422,125695,159,3,NORMAL
8.361791670501232,125700,160,3,NORMAL
8.383215353488922,125705,161,3,NORMAL
8.359512398034333,125710,162,3,NORMAL
8.554807785779236,125715,163,3,NORMAL
6.580252841204404,125720,164,3,NORMAL
7.315626075595616,125725,165,3,NORMAL
7.72550169071555,125730,166,3,NORMAL
7.176921913295983,125735,167,3,NORMAL
7.227657188028096,125740,168,3,NORMAL
7.328576823294162,125745,169,3,NORMAL
7.951024017840623,125750,170,3,NORMAL
8.293714253574608,125755,171,3,NORMAL
6.82351415067911,125760,172,3,NORMAL
7.047753285497426,125765,173,3,NORMAL
7.697849664032458,125770,174,3,NORMAL
8.256103699445724,125775,175,3,NORMAL
8.289126144617795,125780,176,3,NORMAL
7.123163148671388,125785,177,3,NORMAL
7.865635159820317,125790,178,3,NORMAL
8.144226045340298,125795,179,3,NORMAL
8.009617068767547,125800,180,3,NORMAL
7.480481890410184,125805,181,3,NORMAL
8.260572415232657,125810,182,3,NORMAL
7.719814596056937,125815,183,3,NORMAL
7.16881682267785,125820,184,3,NORMAL
8.074030820995569,125825,185,3,NORMAL
6.9458227880597105,125830,186,3,NORMAL
8.351103707641363,125835,187,3,NORMAL
8.373708245933054,125840,188,3,NORMAL
7.990266278624533,125845,189,3,NORMAL
8.346974978119134,125850,190,3,NORMAL
8.544520642846821,125855,191,3,NORMAL
7.305458325833081,125860,192,3,NORMAL
7.716160027980804,125865,193,3,NORMAL
7.954035568416118,125870,194,3,NORMAL
7.16792137390375,125875,195,3,NORMAL
7.216775353401898,125880,196,3,NORMAL
7.940608385115861,125885,197,3,NORMAL
8.281948340952395,125890,198,3,NORMAL
8.400533617049454,125895,199,3,NORMAL
6.813283861637115,125900,200,3,NORMAL
