predicted_value,tsec,id,pemfc_id,state
0.7471962594985962,147105,1,2,NORMAL
0.7182675151824952,147110,2,2,NORMAL
0.7471862285733224,147115,3,2,NORMAL
0.7472428977489473,147120,4,2,NORMAL
0.7182297604084016,147125,5,2,NORMAL
0.7471982952952386,147130,6,2,NORMAL
0.7182416790723801,147135,7,2,NORMAL
0.7472232800722123,147140,8,2,NORMAL
0.7472053280472757,147145,9,2,NORMAL
0.7182415310144425,147150,10,2,NORMAL
0.7472235391736032,147155,11,2,NORMAL
0.7182424563765527,147160,12,2,NORMAL
0.7472002200484277,147165,13,2,NORMAL
0.7472260191440583,147170,14,2,NORMAL
0.718222320497036,147175,15,2,NORMAL
0.74721284198761,147180,16,2,NORMAL
0.7182008891105652,147185,17,2,NORMAL
0.7471966296434404,147190,18,2,NORMAL
0.7472219475507738,147195,19,2,NORMAL
0.7182052938342095,147200,20,2,NORMAL
0.7471908183693887,147205,21,2,NORMAL
0.7181981500387192,147210,22,2,NORMAL
0.7472079930901528,147215,23,2,NORMAL
0.7472549644708635,147220,24,2,NORMAL
0.7182238380908967,147225,25,2,NORMAL
0.7472128049731256,147230,26,2,NORMAL
0.713749638259411,147235,27,2,NORMAL
0.7405666692256928,147240,28,2,NORMAL
0.7363441308736802,147245,29,2,NORMAL
0.7081732211112977,147250,30,2,NORMAL
0.7324758211374284,147255,31,2,NORMAL
0.7080779458284379,147260,32,2,NORMAL
0.7325007318854333,147265,33,2,NORMAL
0.7366046758294107,147270,34,2,NORMAL
0.7079849284291269,147275,35,2,NORMAL
0.7324709352254869,147280,36,2,NORMAL
0.7079898883700372,147285,37,2,NORMAL
0.7324485414624216,147290,38,2,NORMAL
0.7367247138023377,147295,39,2,NORMAL
0.7079406591057779,147300,40,2,NORMAL
0.7324529832005502,147305,41,2,NORMAL
0.707952910900116,147310,42,2,NORMAL
0.7325036930441857,147315,43,2,NORMAL
0.7367801614999772,147320,44,2,NORMAL
0.7079580929279329,147325,45,2,NORMAL
0.7325127986073495,147330,46,2,NORMAL
0.7079512822628022,147335,47,2,NORMAL
0.7325403373837472,147340,48,2,NORMAL
0.736856633424759,147345,49,2,NORMAL
0.7080010297298432,147350,50,2,NORMAL
0.7325631012916566,147355,51,2,NORMAL
0.7079946262240411,147360,52,2,NORMAL
0.7325782402157784,147365,53,2,NORMAL
0.7368882067799569,147370,54,2,NORMAL
0.7080486303567888,147375,55,2,NORMAL
0.7325880490541459,147380,56,2,NORMAL
0.7080379331707956,147385,57,2,NORMAL
0.7326311709284783,147390,58,2,NORMAL
0.7369207425117493,147395,59,2,NORMAL
0.7080404501557351,147400,60,2,NORMAL
0.7327065694332123,147405,61,2,NORMAL
0.7080800926685334,147410,62,2,NORMAL
0.7327009432315827,147415,63,2,NORMAL
0.7369536113739015,147420,64,2,NORMAL
0.7080747995972634,147425,65,2,NORMAL
0.7327186731696129,147430,66,2,NORMAL
0.7081221041083336,147435,67,2,NORMAL
0.7158914813995362,147440,68,2,NORMAL
0.7158349972963334,147445,69,2,NORMAL
0.7141233735084535,147450,70,2,NORMAL
0.7140906897187234,147455,71,2,NORMAL
0.7239316936731339,147460,72,2,NORMAL
0.7140807698369027,147465,73,2,NORMAL
0.7140355381369592,147470,74,2,NORMAL
0.7140457911491395,147475,75,2,NORMAL
0.7140253591537477,147480,76,2,NORMAL
0.7240238227248192,147485,77,2,NORMAL
0.7140189926624299,147490,78,2,NORMAL
0.7140365745425226,147495,79,2,NORMAL
0.7140269877910614,147500,80,2,NORMAL
0.7140109235048295,147505,81,2,NORMAL
0.7240605040788651,147510,82,2,NORMAL
0.7140484191775323,147515,83,2,NORMAL
0.7140762910842896,147520,84,2,NORMAL
0.7140973523259164,147525,85,2,NORMAL
0.7140776976346971,147530,86,2,NORMAL
0.7241257606148721,147535,87,2,NORMAL
0.7141203383207322,147540,88,2,NORMAL
0.7141049402952195,147545,89,2,NORMAL
0.7141494687199593,147550,90,2,NORMAL
0.7141483212709427,147555,91,2,NORMAL
0.7241995674967767,147560,92,2,NORMAL
0.7141784510612489,147565,93,2,NORMAL
0.7141634231805802,147570,94,2,NORMAL
0.7142091730833054,147575,95,2,NORMAL
0.7141837441325188,147580,96,2,NORMAL
0.7242541268467904,147585,97,2,NORMAL
0.7142545158267022,147590,98,2,NORMAL
0.7142638434767724,147595,99,2,NORMAL
0.7142451141476632,147600,100,2,NORMAL
